WB2,MA1,HH6,HH7,windex5,religion,HL11,HL13,Dropout,helevel
16,0,1,30,4,1,1,1,2,1
15,0,1,30,4,1,1,1,2,1
15,0,1,30,4,1,1,1,2,1
16,1,1,30,4,1,1,1,2,1
17,0,2,20,4,1,1,1,2,1
17,0,2,20,4,1,1,1,2,1
16,0,2,20,4,1,1,1,2,1
16,0,2,20,4,1,1,1,2,1
15,0,2,20,4,1,1,1,2,1
15,0,2,20,4,1,1,1,2,1
17,1,2,20,4,1,1,1,2,1
17,1,2,20,4,1,1,1,2,1
15,1,2,20,4,1,1,1,2,1
17,0,1,20,4,1,1,1,2,1
17,0,1,20,4,1,1,1,2,1
16,0,1,20,4,1,1,1,2,1
16,0,1,20,4,1,1,1,2,1
16,0,1,20,4,1,1,1,2,1
16,1,1,20,4,1,1,1,2,1
17,0,2,20,3,3,1,1,2,1
16,0,2,60,3,2,1,1,2,1
15,0,2,60,3,2,1,1,2,1
17,1,2,55,3,2,1,1,2,1
16,1,2,55,3,2,1,1,2,1
17,0,2,40,3,2,1,1,2,1
15,1,2,30,3,2,1,1,2,1
17,0,2,20,3,2,1,1,2,1
15,1,2,10,3,2,1,1,2,1
17,0,2,60,3,1,1,1,2,1
17,0,2,60,3,1,1,1,2,1
17,0,2,60,3,1,1,1,2,1
17,0,2,60,3,1,1,1,2,1
17,0,2,60,3,1,1,1,2,1
17,0,2,60,3,1,1,1,2,1
16,0,2,60,3,1,1,1,2,1
16,0,2,60,3,1,1,1,2,1
15,0,2,60,3,1,1,1,2,1
15,0,2,60,3,1,1,1,2,1
15,0,2,60,3,1,1,1,2,1
16,1,2,60,3,1,1,1,2,1
17,0,2,55,3,1,1,1,2,1
15,0,2,55,3,1,1,1,2,1
17,1,2,55,3,1,1,1,2,1
17,1,2,55,3,1,1,1,2,1
17,1,2,55,3,1,1,1,2,1
16,1,2,55,3,1,1,1,2,1
16,1,2,55,3,1,1,1,2,1
15,1,2,55,3,1,1,1,2,1
15,1,2,55,3,1,1,1,2,1
17,0,1,55,3,1,1,1,2,1
16,0,1,55,3,1,1,1,2,1
16,0,1,55,3,1,1,1,2,1
16,1,1,55,3,1,1,1,2,1
17,0,2,50,3,1,1,1,2,1
16,0,2,50,3,1,1,1,2,1
16,0,2,50,3,1,1,1,2,1
15,0,2,50,3,1,1,1,2,1
17,1,2,50,3,1,1,1,2,1
17,1,2,50,3,1,1,1,2,1
17,1,2,50,3,1,1,1,2,1
17,1,2,50,3,1,1,1,2,1
16,1,2,50,3,1,1,1,2,1
16,1,2,50,3,1,1,1,2,1
15,1,2,50,3,1,1,1,2,1
17,0,2,40,3,1,1,1,2,1
17,0,2,40,3,1,1,1,2,1
17,1,2,40,3,1,1,1,2,1
17,1,2,40,3,1,1,1,2,1
17,1,2,40,3,1,1,1,2,1
16,1,2,40,3,1,1,1,2,1
16,1,2,40,3,1,1,1,2,1
16,1,2,40,3,1,1,1,2,1
16,1,2,40,3,1,1,1,2,1
16,1,2,40,3,1,1,1,2,1
16,1,2,40,3,1,1,1,2,1
15,1,2,40,3,1,1,1,2,1
15,1,2,40,3,1,1,1,2,1
15,0,1,40,3,1,1,1,2,1
15,0,1,40,3,1,1,1,2,1
17,1,1,40,3,1,1,1,2,1
17,0,2,30,3,1,1,1,2,1
17,0,2,30,3,1,1,1,2,1
17,0,2,30,3,1,1,1,2,1
17,0,2,30,3,1,1,1,2,1
17,0,2,30,3,1,1,1,2,1
17,0,2,30,3,1,1,1,2,1
17,0,2,30,3,1,1,1,2,1
17,0,2,30,3,1,1,1,2,1
16,0,2,30,3,1,1,1,2,1
16,0,2,30,3,1,1,1,2,1
16,0,2,30,3,1,1,1,2,1
16,0,2,30,3,1,1,1,2,1
16,0,2,30,3,1,1,1,2,1
16,0,2,30,3,1,1,1,2,1
16,0,2,30,3,1,1,1,2,1
16,0,2,30,3,1,1,1,2,1
16,0,2,30,3,1,1,1,2,1
16,0,2,30,3,1,1,1,2,1
16,0,2,30,3,1,1,1,2,1
16,0,2,30,3,1,1,1,2,1
16,0,2,30,3,1,1,1,2,1
15,0,2,30,3,1,1,1,2,1
15,0,2,30,3,1,1,1,2,1
15,0,2,30,3,1,1,1,2,1
15,0,2,30,3,1,1,1,2,1
15,0,2,30,3,1,1,1,2,1
15,0,2,30,3,1,1,1,2,1
15,0,2,30,3,1,1,1,2,1
17,1,2,30,3,1,1,1,2,1
17,1,2,30,3,1,1,1,2,1
17,1,2,30,3,1,1,1,2,1
17,1,2,30,3,1,1,1,2,1
17,1,2,30,3,1,1,1,2,1
16,1,2,30,3,1,1,1,2,1
16,1,2,30,3,1,1,1,2,1
16,1,2,30,3,1,1,1,2,1
15,1,2,30,3,1,1,1,2,1
17,0,1,30,3,1,1,1,2,1
16,0,1,30,3,1,1,1,2,1
17,1,1,30,3,1,1,1,2,1
17,1,1,30,3,1,1,1,2,1
16,1,1,30,3,1,1,1,2,1
17,0,2,20,3,1,1,1,2,1
17,0,2,20,3,1,1,1,2,1
17,0,2,20,3,1,1,1,2,1
17,0,2,20,3,1,1,1,2,1
17,0,2,20,3,1,1,1,2,1
17,0,2,20,3,1,1,1,2,1
17,0,2,20,3,1,1,1,2,1
17,0,2,20,3,1,1,1,2,1
16,0,2,20,3,1,1,1,2,1
16,0,2,20,3,1,1,1,2,1
16,0,2,20,3,1,1,1,2,1
16,0,2,20,3,1,1,1,2,1
16,0,2,20,3,1,1,1,2,1
16,0,2,20,3,1,1,1,2,1
16,0,2,20,3,1,1,1,2,1
16,0,2,20,3,1,1,1,2,1
16,0,2,20,3,1,1,1,2,1
15,0,2,20,3,1,1,1,2,1
